股票代码,标题,作者ID,最后更新
600900,李强在四川调研：着力推进新型电网建设加快能源结构调整优化,未知,04-01 08:36
600900,明天再跌2毛破位离场，不耗着了没意思,未知,04-01 06:29
600900,这个股是真狗啊,未知,04-01 10:54
600900,都是套牢盘，天天利好有用吗？,未知,04-01 05:15
600900,沪市主板公司业绩说明会“培育新动能”主题周活动启动,未知,04-01 08:54
600900,油已经拿起来了哈，明天大盘调整你出来表演呢,未知,04-01 05:40
600900,好股票,未知,04-01 05:24
600900,从三峡能源年报分析，投资风力发电，太阳能都是亏损的买卖。意味着什么？意味着电力有,未知,04-01 04:46
600900,抄它,未知,04-01 03:42
600900,人生第一股，昨天建仓，你就来杯绿茶，我是真火！,未知,04-01 10:24
600900,开门红，哈哈哈,未知,04-01 03:28
600900,绿肥红瘦的家伙！,未知,04-01 03:28
600900,挂了26.83差一分钱成交,未知,04-01 02:55
600900,哎！说你什么好呢，我就是一个老登，一个绿意萦绕的老登。处女股你该红不红，持股一天,未知,04-01 03:15
600900,长江电力吹牛不好吹啊！！！来水偏枯，电价下行。讲故事又没什么好吹的，只能说自己是,未知,04-01 03:03
600900,有人已看到15元了，看来我不是孤军奋战，对于长电，我继续下调预期，随着可控核聚变,未知,04-01 01:36
600900,跌了也不买,未知,04-01 02:49
600900,差不多了吧，都跌成狗了,未知,04-01 02:45
600900,韭菜跌倒，量化吃饱,未知,04-01 02:47
600900,每天尾盘绿了就买一点，红了就卖一点，管他是涨还是跌，炒短线一直亏，不炒股又无聊，,未知,04-01 02:33
600900,看着恶心，一买就套。宁愿割肉以后再也不碰了,未知,04-01 02:34
600900,说明科技准备起飞了,未知,04-01 02:40
600900,大哥，咱不能坚挺一点吗？老了不行？,未知,04-01 02:27
600900,长江电力,未知,04-01 02:25
600900,30年以后长江电力除权价零元以下，不用花钱买。,未知,04-01 01:58
600900,这个股票必掉到25圆一下，因为现在的股息率太低了，虽然稳定，怎么也要达到4，不然,未知,04-01 02:14
600900,从月线kDJ指标看长江电力肯定是被超卖了只有长拿了,未知,04-01 02:22
600900,我是一路做T它还是一路跌，永远都T不到它的低价,未知,04-01 02:21
600900,再跌2毛就要跑了，切记切记,未知,04-01 02:21
600900,运气还可以，卖出600股，今天回补400股长江电力。,未知,04-01 01:29
600900,26.86买进了,未知,04-01 02:17
600900,量化在搞什么,未知,04-01 02:19
600900,求有用的话，巴菲特都得,未知,04-01 02:08
600900,哪位大佬能说一下为什么它天天跌,未知,04-01 01:58
600900,严重怀疑这票还有上涨可能吗？,未知,04-01 01:56
600900,中小股民想求爷爷告奶奶的能不能涨一点！，想喝口肉汤都指望不上！,未知,04-01 01:37
600900,管好家人。拥有长江电力。远离股市，,未知,04-01 11:28
600900,就知道你没憋好屁,未知,04-01 11:28
600900,的！天天上方承压，承压！咋没有压你？,未知,04-01 01:25
600900,这是好股票，打算跌到15元开始买入,未知,04-01 10:30
600900,中信证券：电力板块有望迎来基本面与估值双重修复机遇,未知,03-31 09:25
600900,今年长江来水偏枯对利润影响几何？,未知,04-01 11:34
600900,25.5买入合适,未知,04-01 11:10
600900,漂亮，四连绿,未知,04-01 09:46
600900,半死不活的,未知,04-01 10:00
600900,跌到多少买入比较好,未知,04-01 10:57
600900,事实证明还好我跑路了,未知,04-01 11:03
600900,等20块钱我就回来,未知,04-01 11:04
600900,中外合资公司私有化不可能，整体上市落实一二期35万平产地合一[大笑]$中国国贸(,未知,04-01 11:11
600900,在电力里算跌的少的,未知,04-01 11:16
600900,小老弟我等你分红，我就不信27.65是你这一辈子的顶。,未知,04-01 10:39
600900,差点被长江电力套住了，我的天,未知,03-18 06:40
600900,这波短线操作赚了一万多，还可以呆了30天,未知,03-27 09:41
600900,公益，公用事业股！就不要指望涨个5元以上了，这就是没主力愿意做多，就一帮套牢的在,未知,04-01 11:15
600900,今天可以建仓吗？？,未知,04-01 10:29
600900,每次下跌只有几百家的时候，一定有你,未知,04-01 09:45
600900,浪费时间,未知,04-01 10:57
600900,5日线压制，短线没有行情。,未知,04-01 10:38
600900,不论怎么表演，接下来都是向下。,未知,04-01 10:34
600900,解套就走，两年炒了个寂寞，还不如存定期。,未知,04-01 09:30
600900,可以上车了,未知,04-01 09:45
600900,多少买合适？,未知,03-31 09:49
600900,我问了豆包，说市盈率在19-20之间，适合长线投资，可以买一点，我在等它跌一点买,未知,04-01 09:29
600900,真是春春的飞舞啊,未知,04-01 09:58
600900,兄弟们，长江电力能不能入手了。,未知,04-01 09:40
600900,大哥你得稳住你不稳我都不想玩股票了,未知,04-01 09:44
600900,怎么回事啊？,未知,04-01 09:44
600900,这股废了,未知,04-01 09:43
600900,这个货怎么回事？,未知,04-01 09:43
600900,每个月都绿色，习惯了,未知,03-31 10:32
600900,连跌四天，量化是这么干的？,未知,04-01 09:32
600900,难搞了，变盘向下了,未知,04-01 08:49
600900,$招商银行(SH600036)$$长江电力(SH600900)$$上海机场(SH,未知,04-01 08:15
600900,我刚问豆包了，明天抗揍长江电力推荐我买,未知,03-31 09:42
600900,长江电力：融资净买入933.17万元，融资余额116.29亿元,未知,04-01 07:41
600900,除了水电。其他所有电力在水电面前都没有未来，不管你怎样讲故事，因为天生电费比其他,未知,03-31 09:52
600900,不是为了分红你们来股市干嘛？长江电力分红是华能水电的5倍，你们这些机构没有看到吗,未知,03-31 10:29
600900,长江电力的年报没有什么可以看。我只看一个数据。债务，2024年还了175亿，估计,未知,03-31 06:58
600900,算电协同：AI时代真正的底层战争 不在芯片 而在电力,未知,03-31 01:09
600900,服务实体经济 传递公司价值|沪市主板公司业绩说明会“培育新动能”主题周正式开启,未知,03-31 07:30
600900,在抖音里。长江电力跟茅台酒比。根本没有可比性。长江电力是不可复制的硬资产。稳定性,未知,03-30 03:48
600900,上市公司就是上市公司。这是决定性的，上市公司赚钱是股东的，不可能是上交国库的。,未知,03-31 07:08
600900,新能源不等于清洁能源，真正的清洁能源是水电。这些都是乌鸦嘴在说,未知,03-31 06:48
600900,刚看到长江委预告，今年来水情况又不好哇。你怎么样啊？顶得住吗？,未知,03-31 03:12
600900,闽东电力----必定成为第二个长江电力，希望明天不要一字涨停，给我加点仓位！！！,未知,03-31 05:53
600900,算力需要电力，为啥这个股会跌成这样,未知,03-31 01:52
600900,有没有大佬知道，长江水下建高铁了，对长江电力利好吗？,未知,03-31 11:05
600900,节能风电。三峡能源，跟27元的长江电力比最多值2.50元，你感觉家里有钱花不完，,未知,03-31 04:39
600900,看来是业绩不如预期啊，,未知,03-31 01:43
600900,去年3031买了，到现在亏成狗了。,未知,03-31 01:46
600900,靠，为啥掉了,未知,03-31 01:42
600900,这2月全加仓四大行，今天减亏对冲一下，这个近两年碰不得呀,未知,03-31 03:02
600900,买啥都踏马的不行，全仓买这个20万元一年分红有多少钱，会不会跌停？,未知,03-31 10:49
600900,最大做空力量已经变为量化了，吃掉盈利公司分红能力,未知,03-31 02:54
600900,现在这盘让你走的乱七八糟！该涨不涨该跌不跌！,未知,03-31 02:42
600900,你也不护盘吗！老登都不如了！,未知,03-31 11:23
