代码	    名称	市盈(动)	市净率	总市值
SH688584	上海合晶	99.97	3.03	12530580800.00 
SH688585	上纬新材	1129	34.44	46374498000.00 
SH688586	江航装备	198.5	4.41	10920480400.00 
SH688588	凌志软件	45.72	3.67	4644116100.00 
SH688589	力合微	149.7	3.23	3079511300.00 
SH688590	新致软件		2.51	3687875100.00 
SH688591	泰凌微	66.44	3.45	8512691400.00 
SH688592	司南导航	229.8	3.56	3355207600.00 
SH688593	新相微	1524	8.73	13602071000.00 
SH688595	芯海科技		6.22	4217604800.00 
SH688596	正帆科技	59.37	2.12	8191551500.00 
SH688597	煜邦电力	38.76	3.03	2950606800.00 
SH688598	金博股份		1.19	4614350400.00 
SH688599	天合光能		1.75	38605515000.00 
SH688600	皖仪科技	55.06	3.69	3137360700.00 
SH688601	力芯微	196.2	5.57	7005497500.00 
SH688602	康鹏科技		1.44	3905700000.00 
SH688603	天承科技	117.7	8.26	9847001200.00 
SH688605	先锋精科	63.93	7.39	12165053100.00 
SH688606	奥泰生物	22.8	1.26	4977252100.00 
SH688607	康众医疗		6.11	5241914500.00 
SH688608	恒玄科技	49.9	4.2	29637802000.00 
SH688609	九联科技		5.12	3995000000.00 
SH688610	埃科光电	90.36	3.81	5780000000.00 
SH688611	杭州柯林		9.18	7939445700.00 
SH688612	威迈斯	21.63	3.32	12051657800.00 
SH688613	奥精医疗	216.7	1.99	2849778500.00 
SH688615	合合信息	52.34	8.14	23772000000.00 
SH688616	西力科技	22.91	2.63	2378555800.00 
SH688617	惠泰医疗	42.96	11.41	35256102000.00 
SH688618	三旺通信	95.57	4.08	3495088200.00 
SH688619	罗普特		4.07	2750046200.00 
SH688620	安凯微		3.14	4061120000.00 
SH688621	阳光诺和	36.66	5.94	7188160000.00 
SH688622	禾信仪器		20.54	6224219500.00 
SH688623	双元科技	77.88	2.37	5022398100.00 
SH688625	呈和科技	35.56	6.61	10014908200.00 
SH688626	翔宇医疗	115.2	4.38	9068800000.00 
SH688627	精智达	311.1	12.32	21411177000.00 
SH688628	优利德	31.04	3.74	4732239700.00 
SH688629	华丰科技	132.2	26.08	47611340000.00 
SH688630	芯碁微装	87.88	11.04	25478654000.00 
SH688631	莱斯信息	155.1	4.47	8565828000.00 
SH688633	星球石墨	20.51	1.98	3413096200.00 
SH688636	智明达	69.23	5.07	7074512500.00 
SH688638	誉辰智能		2.73	2214240000.00 
SH688639	华恒生物	53.57	2.68	7093281100.00 
SH688648	中邮科技	11.13	3.2	7008080000.00 
SH688651	盛邦安全		3.02	2834248400.00 
SH688652	京仪装备	113.5	7.63	16788240000.00 
SH688653	康希通信		3.59	5216859200.00 
SH688655	迅捷兴		4.72	3103985300.00 
SH688656	浩欧博	332.7	9.41	7718501600.00 
SH688657	浩辰软件	58.17	2.09	2955349500.00 
SH688658	悦康药业		2.33	7708500000.00 
SH688659	元琛科技		3.02	1552000000.00 
SH688660	电气风电		4.03	16680001000.00 
SH688661	和林微纳	376.2	9.13	11206283800.00 
SH688662	富信科技	125.3	6.84	4998796000.00 
SH688663	新风光	85.65	5.82	8154595900.00 
SH688665	四方光电	33.21	3.76	4372521100.00 
SH688667	菱电电控	38.31	2.89	5162573900.00 
SH688668	鼎通科技	72.9	8.86	17534169000.00 
SH688669	聚石化学		2.59	3060026700.00 
SH688670	金迪克		1.92	2109184000.00 
SH688671	碧兴物联		1.65	1681089600.00 
SH688676	金盘科技	51.94	6.8	34253935000.00 
SH688677	海泰新光	38.2	4.87	6556073100.00 
SH688678	福立旺	127.8	3.46	7054363800.00 
SH688679	通源环境		5.37	5899697400.00 
SH688680	海优新材		3.46	4324498300.00 
SH688681	科汇股份	40.76	3.12	1915461000.00 
SH688682	霍莱沃		7.33	4484984900.00 
SH688683	莱尔科技	119.8	4.26	5085857500.00 
SH688685	迈信林	111	7.39	6204482900.00 
SH688686	奥普特	60	3.6	11001191000.00 
SH688687	凯因科技	115.7	1.98	3427435700.00 
SH688689	银河微电	49.15	2.86	3950884900.00 
SH688690	纳微科技	74.52	5.27	10135750600.00 
SH688691	灿芯股份		8.65	10656000000.00 
SH688692	达梦数据	45.92	6.42	23732839000.00 
SH688693	锴威特		4.57	3662105300.00 
SH688695	中创股份		2.65	2062495900.00 
SH688696	极米科技	43.38	2.06	6223377600.00 
SH688697	纽威数控	21.43	3.51	6484987300.00 
SH688698	伟创电气	53.17	6.06	14268898000.00 
SH688699	明微电子		3.9	4648029700.00 
SH688700	东威科技	112.9	7.91	14603763000.00 
SH688701	卓锦股份		8.71	1239380140.00 
SH688702	盛科通信-U		30.68	68420800000.00 
SH688707	振华新材		1.65	6598360500.00 
SH688708	佳驰科技	48.2	6.01	21024526000.00 
SH688709	成都华微	115.5	8.89	27187000000.00 
