代码	    名称	市盈(动)	市净率	总市值
SZ300370	安控科技		7.87	4007363100
SZ300371	汇中股份	37.23	2.11	2464911900
SZ300373	扬杰科技	29.13	3.84	36659675000
SZ300374	中铁装配		4.83	3592779200
SZ300375	鹏翎股份	58.29	1.59	3631551600
SZ300376	易事特	115.4	2.17	14504938000
SZ300377	赢时胜		5.29	13345324700
SZ300378	鼎捷数智	147.5	4.41	10047417700
SZ300380	安硕信息	275.5	12.46	4821832100
SZ300381	溢多利	132.5	1.24	3216452600
SZ300382	斯莱克	379.5	3.22	7404727900
SZ300383	光环新网	160.7	2.42	30774790000
SZ300384	三联虹普	17.5	1.71	4724497600
SZ300385	雪浪环境		83.35	6869469100
SZ300386	飞天诚信	422.2	3.97	5844255100
SZ300387	富邦科技	23.49	1.7	2526358300
SZ300388	节能国祯	15.28	1.16	5441527400
SZ300389	艾比森	26.77	4.12	6743462800
SZ300390	天华新能	120.8	4.28	48598921000
SZ300393	中来股份		3.58	10580281600
SZ300394	天孚通信	120	48.07	2.34469E+11
SZ300395	菲利华	107.3	10.49	47735265000
SZ300396	迪瑞医疗		1.68	3182410900
SZ300397	天和防务		4.13	5947646200
SZ300398	飞凯材料	37.42	2.95	14513829000
SZ300399	天利科技	521.4	7.88	4044872000
SZ300400	劲拓股份	49.42	7.27	5677443700
SZ300401	花园生物	24.31	2.4	7586839900
SZ300402	宝色股份	69.37	3.1	4642129200
SZ300403	汉宇集团	31.04	3.27	6982740000
SZ300404	博济医药	131	3.75	3827761300
SZ300405	科隆股份		4.37	1828516300
SZ300406	九强生物	19.09	1.81	6936031100
SZ300407	凯发电气	45.11	2.15	4147724800
SZ300408	三环集团	38.68	4.68	1.01287E+11
SZ300409	道氏技术	34.71	2.39	19227679000
SZ300410	正业科技	94.76	12.09	2911220300
SZ300411	金盾股份	235.3	4.7	4557089300
SZ300412	迦南科技	192.2	2.51	2588334500
SZ300413	芒果超媒	28.45	1.66	38536849000
